Word,Count
\example,\,10
surfaces,10
SDL_Window,10
release,10
8-bit,10
define,10
MIDI,10
--,10
assertions,10
Definition,10
creation,10
(c),10
\layout,\,10
Trigger,10
\channel,\,10
group,10
frequency,10
Group,10
default),10
provides,10
hints,10
know,10
enum,10
table,10
necessary,10
address,10
\"\Materials"\),\,10
how,10
added,10
compatibility,10
Button,10
encoding,10
stub,10
calls,10
border,10
times,10
least,10
particular,10
Effect,10
1997-2017,10
gamma,10
Types,10
around,10
applications,10
\structure,\,10
<,10
nanoseconds,10
future,10
retrieve,10
</td><td>,10
loop,10
\Materials,\,10
clip,10
Initialize,10
battery,10
via,10
domain,10
routines,10
dynamic,10
Source,10
SDL_LockAudio(),9
-------------,9
chunk,9
stereo,9
System,9
needed,9
changed,9
generator,9
we're,9
double,9
Upper,9
\true,\,9
binary,9
(no,9
\it,\,9
->,9
Gets,9
\inclusive,\,9
normal,9
Sets,9
work,9
immediately,9
ISO,9
Must,9
explicitly,9
SDL's,9
\functions,\,9
SDL_free(),9
Mix_RegisterEffect(),9
comparison,9
Close,9
cause,9
dstA,9
this:,9
loader,9
1.1,9
colors,9
identifier,9
__,9
global,9
!!,9
gain,9
during,9
SDL_mixer,9
orientation,9
How,9
scancode,9
keyboards,9
indices,9
side,9
process,9
Log,9
As,9
now,9
hidden,9
Condition,9
program,9
\rectangle,\,9
colorkey,9
swapped,9
constant,9
names,9
dynamically,9
desktop,9
\callback,\,9
$Revision:,9
precision,9
cannot,9
appropriate,9
again,9
\joystick,\,9
IS,9
(default,9
XInput,9
wait,9
Will,9
UI,9
Not,9
processing,9
device_index,8
Error,8
Boundaries,8
20,8
(or,8
EGL_KHR_stream,8
CONTRIBUTORS,8
sets,8
starting,8
ramp,8
(=within,8
IMPLIED,8
Draw,8
Data,8
\boundaries,\,8
\default,\,8
SDL_TRUE),8
\thread,\,8
space,8
\notice,\,8
Redistributions,8
19,8
Gesture,8
another,8
non-valid,8
X11,8
\warning,8
Direction,8
away,8
initializes,8
\boundary2,\,8
remove,8
SDL_WaitThread(),8
ignored,8
e.g,8
\platforms,\,8
examples,8
several,8
initialize,8
org>,8
etc),8
bounds),8
reset,8
\pixels,\,8
many,8
closed,8
\key,\,8
apps,8
bug,8
boundary2,8
block,8
existing,8
Update,8
hat,8
velocity,8
handles,8
(and,8
refers,8
info,8
glyph,8
&&,8
(e.g,8
subsystems,8
down,8
Once,8
every,8
FIXME:,8
directory,8
nonzero,8
64-bit,8
normally,8
probably,8
);,8
gets,8
>,8
later,8
disclaimer,8
controls,8
filesystem,8
updates,8
THIS,8
\TO,\,8
doing,8
failed,8
multiplied,8
directly,8
try,8
rate,8
enumerated,8
high-DPI,8
mappings,8
\-10,\,8
Custom,8
void,8
examples:,8
logical,8
form,8
describing,8
\99,\,8
_MSC_VER,8
submit,8
sending,8
differ,8
padding,8
store,8
\buffer,\,8
lines,8
SDL_HapticEffect,8
Make,8
consider,8
scale,8
allowed,8
characters,8
unique,8
permitted,8
top,8
Lower,8
\2002-2008,\,8
provide,8
\type,\,8
grab,8
strength,8
Mix_GetError(),8
public,8
Random,8
<=,8
empty,8
vertical,8
back-button-press,8
simulates,8
DLL,8
2.0,8
UK,7
Define,7
closest,7
viewport,7
actually,7
FL,7
identify,7
KHRONOS_APIENTRY,7
Some,7
linear,7
\device,\,7
works,7
-0700,7
pressed,7
converted,7
variables,7
once,7
SDL_GetWindowSize(),7
unless,7
KHRONOS_APICALL,7
example,7
_nomatch_^,7
basic,7
\channels,\,7
mdContext,7
reference,7
keys,7
timeout,7
were,7
rotated,7
digest,7
mode:,7
2D,7
images,7
\this,\,7
(not,7
dstRGB,7
execution,7
stored,7
Read-only,7
Keyboard,7
soon,7
registers,7
visible,7
Reserved,7
[OPTIONAL],7
\li,7
KHRONOS_SUPPORT_INT64,7
ANGLE,7
/|,7
resampling,7
absolute,7
),7
\file,\,7
MIX_CHANNEL_POST,7
formats,7
creating,7
&,7
upper,7
operation,7
won't,7
pitch,7
GCC,7
portrait,7
\|,7
real,7
\supported,\,7
packing,7
care,7
Normalized,7
specifying,7
allows,7
screensaver,7
FR,7
component,7
way,7
Replay,7
(for,7
aligned,7
enough,7
swap,7
editing,7
signal,7
command,7
pending,7
Win32,7
made,7
Stop,7
matches,7
PSP,7
frame,7
contain,7
translation,7
supply,7
Display,7
character,7
Using,7
Periodic,7
Functions,7
>0,7
\-1,\,7
Surface,7
3D,7
voices,7
argument,7
initialization,7
full,7
factor,7
structures,7
autocenter,6
saved,6
bar,6
results,6
\verbatim,6
We,6
--------------,6
seed,6
turn,6
Check,6
*-------------------------------------------------------------------------,6
amount,6
specifies,6
::SDL_WINDOWPOS_UNDEFINED,6
pointed,6
extended,6
upon,6
Checks,6
B,6
libraries,6
\background,\,6
makes,6
blendMode,6
We'll,6
included:,6
hold,6
Unadjusted,6
errors,6
SDL_HapticOpen,6
union,6
RLE,6
\endverbatim,6
intensity,6
Bugzilla,6
SDL_AudioStreamAvailable,6
general,6
follows,6
accelerometer,6
active,6
User,6
feature,6
tag,6
SDL_HapticDirection,6
non-zero,6
registered,6
small,6
(default),6
\enabled,\,6
SDL_AudioStreamFlush,6
revision,6
Unicode,6
fail,6
management,6
b,6
\haptic,\,6
\quality,\,6
\focus,\,6
arbitrary,6
Your,6
srcA,6
|\,6
parent,6
old,6
compile,6
0;,6
plane,6
0x0C,6
blits,6
base,6
Controller,6
family,6
SDL_NewAudioStream,6
rotation,6
encoded,6
close,6
causes,6
working,6
configuration,6
\events,\,6
threading,6
configure,6
total,6
APIs,6
wasn't,6
r,6
Used,6
SDL_AudioStreamPut,6
SDL_AudioStreamClear,6
yet,6
performed,6
entry,6
very,6
$Date:,6
applies,6
mod,6
0xFFFF,6
\zero,\,6
element,6
pCount,6
Tell,6
released,6
vendor,6
\queue,\,6
French,6
manually,6
\above,\,6
large,6
US,6
\path,\,6
expansion,6
keep,6
objects,6
unregistered,6
SDL_FreeAudioStream,6
Thread,6
-32768,6
opacity,6
long,6
SDL_HapticCondition,6
settings,6
correct,6
Wait,6
Versions,6
pointers,6
gamecontroller,6
Apple,6
4,6
16,6
To,6
checked,6
RGBA,6
external,6
|/,6
Adopters,6
result,6
locking,6
Flags,6
dir,6
speed,6
performs,6
Delay,6
smallest,6
SDL_Quit(),6
SDL_AudioStreamGet,6
usually,6
Destroy,6
contains,6
SDL_SRCCOLORKEY,6
transparent,6
Fill,6
Do,6
g,6
passing,6
successfully,6
dstrect,5
human-readable,5
</td></tr>,5
\hint,\,5
GL_ARB_multitexture,5
offset,5
standard,5
graphics,5
modified,5
image,5
Number,5
copied,5
\position,\,5
certain,5
system-specific,5
Ramp,5
SDL_GetNumVideoDisplays(),5
Direct3D,5
CRC,5
SDL_WINDOW_VULKAN,5
#undef,5
1),5
::SDL_HAPTIC_INFINITY,5
depth,5
override,5
timecents,5
(a,5
>=,5
callback;,5
WinRT:,5
alignment,5
exist,5
May,5
\one,\,5
Try,5
wheel,5
complete,5
(i.e,5
become,5
box,5
spin,5
\flag,\,5
corresponding,5
becomes,5
SDL_HapticPeriodic,5
SDL_WINDOW_ALLOW_HIGHDPI,5
endianness,5
initializing,5
\fails),\,5
limits,5
::SDL_QUIT,5
located,5
ANSI,5
reports,5
seconds,5
userdata,5
Identifier,5
remain,5
TV,5
likely,5
pointing,5
GL_EXT_debug_label,5
naming,5
SDL_HapticQuery,5
Rights,5
\Windows,\,5
\pressed,\,5
modulation,5
i,5
runs,5
Metal,5
panning,5
building,5
\system,\,5
------------,5
32767,5
ACCENT,5
EG,5
barrier,5
background,5
binding,5
Defines,5
register,5
GL_EXT_blend_minmax,5
GL_EXT_debug_marker,5
three,5
location,5
\"\2"\\,5
representation,5
attribute,5
\format,\,5
linking,5
Constant,5
SDL_version,5
(distance),5
behaviour,5
i.e,5
integers,5
equivalent,5
Always,5
main(),5
GL_EXT_separate_shader_objects,5
indicating,5
(left),5
environment,5
SDL_SetWindowDisplayMode(),5
considered,5
starts,5
opening,5
Call,5
further,5
codes,5
big-endian,5
\memory,\,5
\TODO,\,5
together,5
drawable,5
Packed,5
period,5
treated,5
entries,5
build,5
directions,5
Copy,5
256,5
good,5
convention,5
floating,5
much,5
break,5
lets,5
Reset,5
\"\Software"\),\,5
Convenience,5
scaled,5
stack,5
quit,5
center,5
SDL_DestroyWindow(),5
else,5
lower,5
YUV,5
GUID,5
waves,5
len,5
const,5
occurred,5
no-op,5
player,5
successful,5
Calculate,5
SDL_HapticRunEffect,5
callbacks,5
reason,5
aren't,5
arrow,5
\in,\,5
GL_OES_EGL_image,5
They,5
click,5
application's,5
GL_NV_fence,5
shown,5
set),5
class,5
representing,5
\ID,\,5
\bits,\,5
blitting,5
Touch,5
Message,5
(using,5
SDL_AudioCVT,5
\Software,\,5
represent,5
proper,5
|__|,5
cases,5
GL_NV_draw_buffers,5
fire,5
icon,5
document,5
GL_EXT_texture_filter_anisotropic,5
Platform,5
bottom,5
locks,5
Uint32,5
foreground,5
filtered,5
semaphore,5
compiling,5
value),5
stuff,5
(right),5
-1;,5
item,5
exact,5
refresh,5
bank,5
per-surface,5
21,5
SoundFont,5
you're,5
Envelope,5
hit,5
detached,5
dummy,5
mono,5
While,5
/\,5
Event,5
rendered,5
<tr><td>,5
higher,5
corner,5
guaranteed,5
notes,5
Additional,5
expect,5
functionality,5
track,5
GL_APPLE_rgb_422,5
middle,4
reproduce,4
SDL_EventState(),4
cartesian,4
15,4
GL_ANGLE_framebuffer_blit,4
RTL,4
encapsulate,4
scan,4
rows,4
calculated,4
degrees),4
changing,4
WAY,4
\controller,\,4
SUBSTITUTE,4
GL_APPLE_texture_format_BGRA8888,4
ensure,4
opaque,4
textures,4
interpolation,4
[in],4
\-11,\,4
separate,4
plugged,4
GL_NV_read_depth,4
HOWEVER,4
GL_EXT_read_format_bgra,4
GL_EXT_color_buffer_half_float,4
GL_ANGLE_program_binary,4
user-defined,4
(alternative,4
PATCHLEVEL,4
deallocated,4
U,4
converted/resampled,4
Left/Right,4
extra,4
INTERRUPTION),4
depending,4
outside,4
TILDE,4
clipboard,4
(if,4
Need,4
GL_QCOM_alpha_test,4
Xinerama,4
GL_AMD_program_binary_Z400,4
preset_index),4
\SPECIAL,\,4
applied,4
Files,4
listener,4
CAUSED,4
requests,4
arguments,4
\non-zero,\,4
\successful,\,4
GL_EXT_sRGB,4
GL_ARM_mali_shader_binary,4
looking,4
Save,4
Values,4
String,4
Extension,4
10,4
\user,\,4
phase,4
Common,4
(returns,4
GL_APPLE_framebuffer_multisample,4
\MINOR,\,4
author,4
sourceforge,4
\keyboards,\,4
-------------------------------,4
supported;,4
GL_NV_shadow_samplers_cube,4
hit-testing,4
materials,4
listed,4
Milan,4
Object,4
SDL_CreateWindow(),4
something,4
ON,4
alpha),4
pause,4
(in,4
GL_ANGLE_pack_reverse_row_order,4
clear,4
GL_NV_read_depth_stencil,4
modifications,4
Dollar,4
Start,4
interface,4
GL_EXT_unpack_subimage,4
THEORY,4
motor,4
GL_EXT_texture_type_2_10_10_10_REV,4
__GNUC__,4
Find,4
duration,4
processed,4
Wrangler,4
endorse,4
C/C++,4
\modification,\,4
remote,4
N'th,4
SDL_CreateThread(),4
KHRONOS_APIATTRIBUTES,4
SDL_BLENDMODE_NONE:,4
derived,4
GL_EXT_texture_rg,4
***********************************************************************,4
fallthrough,4
centered,4
Double,4
<KHR/khrplatform.h>,4
couldn't,4
khrplatform.h,4
phone,4
Displaced,4
detection,4
SDL_HINT_JOYSTICK_HIDAPI,4
2007,4
suit,4
you've,4
GL_QCOM_writeonly_rendering,4
\/,4
Useful,4
GL_ANGLE_framebuffer_multisample,4
\INCLUDING,\,4
accelerate,4
Lev,4
Calling,4
users,4
action,4
General,4
modal,4
application-supplied,4
under,4
manner,4
SDL_HapticDestroyEffect,4
Stewart,4
ASCII,4
convenience,4
fills,4
\code,\,4
Controllers,4
CONSEQUENTIAL,4
SDL_GL_GetProcAddress(),4
GL_EXT_map_buffer_range,4
computation,4
itself,4
filing,4
well,4
Planar,4
reporting,4
GOODS,4
*********************************************************************,4
Printable,4
generates,4
priorities,4
_NET_WM_BYPASS_COMPOSITOR,4
GL_QCOM_extended_get2,4
capabilities,4
SDL_syswm.h,4
major,4
attempt,4
encodings,4
SDL_Vulkan_LoadLibrary(),4
\IS"\\,4
GL_ARM_mali_program_binary,4
(as,4
\German,\,4
interactive,4
GL_NV_draw_instanced,4
hasn't,4
GL_NV_shadow_samplers_array,4
SDL_HINT_WINRT_HANDLE_BACK_BUTTON,4
show,4
\coordinate,\,4
GL_ANGLE_texture_compression_dxt5,4
\width,\,4
periodic,4
synchronized,4
GL_ANGLE_texture_usage,4
Convert,4
generally,4
\2002,\,4
LOSS,4
require,4
brightness,4
occurs,4
GL_APPLE_sync,4
failures,4
minor,4
GL_QCOM_binning_control,4
SDL_CreateRenderer(),4
indicator,4
MERCHANTABILITY,4
German,4
1.0,4
hide,4
south,4
pattern,4
GL_ARB_imaging,4
PROFITS;,4
affect,4
intervals,4
::SDL_PRESSED,4
configured,4
promote,4
fading,4
towards,4
baseline,4
less,4
GL_NV_texture_compression_s3tc_update,4
warnings,4
GL_NV_generate_mipmap_sRGB,4
Since,4
GRAVE,4
GL_ANGLE_texture_compression_dxt3,4
::SDL_RELEASED,4
buttons,4
option,4
save,4
\driver,\,4
planes),4
retain,4
preferred,4
prior,4
(channel),4
endian,4
gesture,4
assembly,4
(http://khronos.org/bugzilla),4
LLP64,4
reading,4
\input,\,4
\posteffect,\,4
BY,4
\USE,\,4
following:,4
PROCUREMENT,4
\10,\,4
windows.h,4
compatible,4
\SOFTWARE,\,4
ms,4
<mmagallo[]debian,4
GL_NV_texture_border_clamp,4
palettized,4
categories,4
predefined,4
GL_EXT_shader_framebuffer_fetch,4
Based,4
regions,4
rest,4
played,4
\"\Registry"\\,4
3-D,4
\types,\,4
<nigels[]users,4
GL_QCOM_tiled_rendering,4
\display,\,4
layer,4
queueing,4
receive,4
E,4
Count,4
ikits[]ieee,4
as:,4
produce,4
SDL_OpenAudio(),4
\2008-2017,\,4
yourself,4
Paul,4
GL_QCOM_perfmon_global_mode,4
1.0f,4
(==,4
Steam,4
components,4
(e),4
format:,4
inside,4
dialog,4
follows:,4
Only,4
Most,4
engine,4
SDL_GetWindowFlags(),4
match,4
(,4
Brian,4
7,4
due,4
additive,4
encouraged,4
giving,4
closing,4
khrplatform.h:,4
shape_mode,4
XRandR,4
things,4
give,4
assume,4
tests,4
Povalahev,4
Index,4
GL_QCOM_driver_control,4
\available,\,4
Nigel,4
goes,4
POSSIBILITY,4
GL_APPLE_texture_max_level,4
shouldn't,4
filters,4
Returned,4
OWNER,4
loads,4
EVEN,4
handle_error();,4
recommended,4
Seek,4
named,4
GL_NV_framebuffer_blit,4
bitmap,4
limited,4
FC,4
\found,\,4
GL_APPLE_copy_texture_levels,4
KHRONOS_TRUE,4
GL_QCOM_extended_get,4
\height,\,4
identifiers,4
resizable,4
Ignore,4
guarantee,4
That,4
GL_EXT_texture_storage,4
\INDIRECT,\,4
==,4
GL_EXT_discard_framebuffer,4
GL_EXT_multi_draw_arrays,4
met:,4
GL_NV_framebuffer_multisample,4
DAMAGE,4
leak,4
Magallon,4
find,4
silence,4
4-byte,4
cutoff,4
Uses,4
\DATA,\,4
Generates,4
Swiss,4
GL_NV_instanced_arrays,4
-101,4
zone,4
properties,4
SERVICES;,4
-9,4
buffers,4
properly,4
GL_ARM_rgba8,4
non-callback,4
GL_EXT_multiview_draw_buffers,4
Generic,4
GL_NV_texture_npot_2D_mipmap,4
paused,4
sent,4
\forms,\,4
NEGLIGENCE,4
Write,4
GL_AMD_compressed_ATC_texture,4
\::SDL_WINDOWPOS_CENTERED,\,4
APK,4
net>,4
Redistribution,4
*e,4
Enumerated,4
GL_EXT_texture_sRGB_decode,4
GL_ANGLE_depth_texture,4
DISCLAIMED,4
Buffer,4
GL_NV_read_stencil,4
Mesa,4
represents,4
\(INCLUDING,\,4
delay,4
IF,4
GL_AMD_performance_monitor,4
products,4
flip,4
GL_EXT_shadow_samplers,4
degrees,4
Library,4
counter,4
except,4
\identifier,\,4
\DIRECT,\,4
seekable,4
STRICT,4
SDL_RenderSetLogicalSize(),4
char,4
compilers,4
GL_EXT_texture_compression_dxt1,4
SUCH,4
\11,\,4
GL_EXT_framebuffer_multisample,4
(INCLUDING,4
delivered,4
.*,4
\exist,\,4
iterations,4
Test,4
exclusively,4
srcrect,4
GL_NV_fbo_color_attachments,4
semantics,4
\event,\,4
Marcelo,4
<milan,4
GL_EXT_multisampled_render_to_texture,4
dev,4
sustain,4
returning,4
Points,4
\order,\,4
LFE,4
pNames,4
dequeue,4
\target,\,4
there's,4
GL_EXT_timer_query,4
Ikits,4
precedes,4
alpha-blend,4
Setup,4
GL_EXT_shader_texture_lod,4
V,4
expected,4
vsync,4
BUSINESS,4
that's,4
newly,4
\bitmask,\,4
ptr,4
SDL_BLENDMODE_BLEND:,4
clicks,4
GL_AMD_compressed_3DC_texture,4
\WARRANTIES,\,4
sampling,4
shaders,4
Debug,4
unsupported,4
retrace,4
ADVISED,4
SGI,4
*-----------------------------------------------------------------------,4
updated,4
off,4
\"\%d.%d.%d"\,\,4
BL,4
Solaris,4
Spaces,4
null-terminated,4
scales,4
ignore,4
\EXEMPLARY,\,4
ones,4
\INCIDENTAL,\,4
\MAJOR,\,4
(NULL,4
Definitions,4
GL_EXT_texture_format_BGRA8888,4
GL_NV_sRGB_formats,4
undefined,4
convert,4
indicate,4
OTHERWISE),4
disables,4
\motor,\,4
finished,4
GL_NV_vertex_program2,3
1.2,3
::SDL_HAPTIC_RAMP,3
GL_AMD_conservative_depth,3
page),3
126,3
GL_SGIS_texture_select,3
GL_NV_vertex_array_range,3
GL_EXT_bgra,3
BR,3
GL_EXT_cull_vertex,3
GL_NV_fragment_program_option,3
GL_NV_conditional_render,3
EGL_KHR_image,3
rndContext,3
EGL_KHR_stream_fifo,3
GL_AMD_seamless_cubemap_per_texture,3
GL_VERSION_3_2,3
holding,3
looping,3
quantities,3
voice,3
Assert,3
attributes,3
maxLength,3
understand,3
according,3
Mode,3
allocate,3
GL_KHR_context_flush_control,3
Registry,3
SDL_gamecontroller.h,3
GL_SGIX_tag_sample_buffer,3
GL_SGIX_igloo_interface,3
GL_ARB_depth_texture,3
captured,3
SDL_WINDOW_RESIZABLE,3
GL_ARB_enhanced_layouts,3
TML_IMPLEMENTATION,3
GL_AMD_vertex_shader_viewport_index,3
GL_WIN_phong_shading,3
GL_SGIX_resample,3
reported,3
SDL_GetNumDisplayModes(),3
requirements,3
be:,3
Signed,3
GL_ARB_texture_mirror_clamp_to_edge,3
GL_SGIS_sharpen_texture,3
SL,3
GL_VERSION_2_0,3
GL_ARB_shader_image_size,3
PS4,3
fuzzer,3
SDL_RestoreWindow(),3
GL_ARB_seamless_cubemap_per_texture,3
GL_NV_geometry_shader4,3
